table,schemas_match,schema_diff,ds_records,prod_records,record_diff,ds_unique_uuids,prod_unique_uuids,uuid_diff,uuid_overlap
abi_all,False,"DS+: {'_piera_uuid'}, PROD+: {'piera_uuid'}",20753,22712,-1959,12758.0,12845.0,-87.0,12514.0
abi_csv,False,"DS+: {'_piera_uuid'}, PROD+: {'Op', 'rescued_data', 'dms_updated_at', 'file_modification_time', '_ingestion_timestamp', 'piera_uuid'}",20753,22712,-1959,,,,
cgm_text,False,"DS+: {'_piera_uuid'}, PROD+: {'Op', 'rescued_data', '_ingestion_timestamp', 'file_modification_time', 'dms_updated_at', 'piera_uuid'}",12031,11895,136,,,,
dimensions,False,"DS+: set(), PROD+: {'Op', 'rescued_data', '_ingestion_timestamp', 'file_modification_time', 'dms_updated_at'}",3,26,-23,,,,
ecg_all,True,,24337,25358,-1021,13211.0,13504.0,-293.0,13203.0
ecg_pdf,False,"DS+: {'_piera_uuid'}, PROD+: {'Op', 'rescued_data', '_ingestion_timestamp', 'file_modification_time', 'dms_updated_at', 'piera_uuid'}",22000,24839,-2839,,,,
ecg_text,False,"DS+: {'_piera_uuid'}, PROD+: {'Op', 'rescued_data', '_ingestion_timestamp', 'file_modification_time', 'dms_updated_at', 'piera_uuid'}",21601,24532,-2931,,,,
ecg_xml,False,"DS+: {'mdc_ecg_lead_v1__stationary_check', 'mdc_ecg_lead_iii__heart_rate_check', 'mdc_ecg_lead_i__ecg_quality', 'mdc_ecg_lead_v1__ecg_quality', 'mdc_ecg_lead_v6__stationary_check', 'mdc_ecg_lead_v2__snr_check', '_piera_uuid', 'mdc_ecg_lead_i__heart_rate_check', 'mdc_ecg_lead_v3__scale', 'mdc_ecg_lead_i__scale', 'mdc_ecg_lead_i__origin', 'mdc_ecg_lead_i__snr', 'mdc_ecg_lead_iii__snr', 'mdc_ecg_lead_avf__snr', 'mdc_ecg_lead_v5__stationary_check', 'mdc_ecg_lead_avf__scale', 'mdc_ecg_lead_avf__heart_rate_check', 'mdc_ecg_lead_avr__snr', 'mdc_ecg_lead_avl__snr_check', 'mdc_ecg_lead_iii__scale', 'mdc_ecg_lead_avl__origin', 'mdc_ecg_lead_v2__heart_rate_check', 'mdc_ecg_lead_v5__heart_rate_check', 'mdc_ecg_lead_v5__snr', 'mdc_ecg_lead_avl__stationary_check', 'mdc_ecg_lead_avr__stationary_check', 'mdc_ecg_lead_v6__heart_rate_check', 'mdc_ecg_lead_v1__origin', 'mdc_ecg_lead_v6__scale', 'mdc_ecg_lead_iii__ecg_quality', 'mdc_ecg_lead_v2__scale', 'mdc_ecg_lead_v3__heart_rate_check', 'mdc_ecg_lead_avl__scale', 'mdc_ecg_lead_ii__origin', 'mdc_ecg_lead_v3__snr', 'mdc_ecg_lead_v3__origin', 'mdc_ecg_lead_avf__ecg_quality', 'mdc_ecg_lead_v5__origin', 'mdc_ecg_lead_v5__scale', 'mdc_ecg_lead_v2__snr', 'mdc_ecg_lead_ii__snr_check', 'mdc_ecg_lead_v2__stationary_check', 'mdc_ecg_lead_v1__snr_check', 'mdc_ecg_lead_v3__ecg_quality', 'mdc_ecg_lead_v5__ecg_quality', 'mdc_ecg_lead_avr__origin', 'mdc_ecg_lead_v3__stationary_check', 'mdc_ecg_lead_avl__ecg_quality', 'mdc_ecg_lead_v5__snr_check', 'mdc_ecg_lead_ii__heart_rate_check', 'mdc_ecg_lead_ii__snr', 'mdc_ecg_lead_v3__snr_check', 'mdc_ecg_lead_v4__stationary_check', 'mdc_ecg_lead_v2__ecg_quality', 'mdc_ecg_lead_ii__stationary_check', 'mdc_ecg_lead_iii__snr_check', 'mdc_ecg_lead_v1__scale', 'mdc_ecg_lead_avr__heart_rate_check', 'mdc_ecg_lead_avl__heart_rate_check', 'mdc_ecg_lead_avf__snr_check', 'mdc_ecg_lead_avr__snr_check', 'mdc_ecg_lead_avr__ecg_quality', 'mdc_ecg_lead_v1__snr', 'mdc_ecg_lead_avf__origin', 'mdc_ecg_lead_avl__snr', 'mdc_ecg_lead_v4__snr', 'mdc_ecg_lead_v6__ecg_quality', 'mdc_ecg_lead_i__stationary_check', 'mdc_ecg_lead_i__snr_check', 'mdc_ecg_lead_v1__heart_rate_check', 'mdc_ecg_lead_avf__stationary_check', 'mdc_ecg_lead_v6__snr_check', 'mdc_ecg_lead_v4__snr_check', 'mdc_ecg_lead_v2__origin', 'mdc_ecg_lead_v6__origin', 'mdc_ecg_lead_iii__origin', 'mdc_ecg_lead_ii__scale', 'mdc_ecg_lead_avr__scale', 'mdc_ecg_lead_v6__snr', 'mdc_ecg_lead_v4__scale', 'mdc_ecg_lead_ii__ecg_quality', 'mdc_ecg_lead_iii__stationary_check', 'mdc_ecg_lead_v4__heart_rate_check', 'mdc_ecg_lead_v4__ecg_quality', 'mdc_ecg_lead_v4__origin'}, PROD+: {'mdc_ecg_lead_iii_heart_rate_check', 'piera_uuid', 'mdc_ecg_lead_i_snr_check', 'mdc_ecg_lead_v6_snr', 'mdc_ecg_lead_v4_snr', 'Op', 'mdc_ecg_lead_avl_ecg_quality', 'mdc_ecg_lead_iii_scale', 'mdc_ecg_lead_v2_snr', 'mdc_ecg_lead_v3_scale', 'mdc_ecg_lead_avl_origin', 'mdc_ecg_lead_v5_ecg_quality', 'mdc_ecg_lead_avf_origin', 'mdc_ecg_lead_v1_snr', 'rescued_data', 'mdc_ecg_lead_ii_scale', 'mdc_ecg_lead_iii_snr', 'mdc_ecg_lead_v5_heart_rate_check', 'mdc_ecg_lead_avl_snr_check', 'mdc_ecg_lead_v2_origin', 'mdc_ecg_lead_avr_ecg_quality', 'mdc_ecg_lead_v3_stationary_check', '_ingestion_timestamp', 'mdc_ecg_lead_i_ecg_quality', 'mdc_ecg_lead_v6_stationary_check', 'mdc_ecg_lead_i_stationary_check', 'mdc_ecg_lead_v4_heart_rate_check', 'mdc_ecg_lead_ii_origin', 'mdc_ecg_lead_avr_origin', 'mdc_ecg_lead_v4_scale', 'mdc_ecg_lead_avl_heart_rate_check', 'mdc_ecg_lead_v4_ecg_quality', 'mdc_ecg_lead_v2_heart_rate_check', 'mdc_ecg_lead_i_origin', 'mdc_ecg_lead_i_snr', 'mdc_ecg_lead_avr_heart_rate_check', 'mdc_ecg_lead_avf_stationary_check', 'mdc_ecg_lead_v1_snr_check', 'mdc_ecg_lead_v6_heart_rate_check', 'mdc_ecg_lead_v5_snr_check', 'mdc_ecg_lead_ii_snr_check', 'mdc_ecg_lead_v3_snr_check', 'mdc_ecg_lead_v2_snr_check', 'mdc_ecg_lead_i_scale', 'mdc_ecg_lead_avf_snr_check', 'file_modification_time', 'mdc_ecg_lead_v5_scale', 'mdc_ecg_lead_iii_ecg_quality', 'mdc_ecg_lead_v4_origin', 'mdc_ecg_lead_avf_snr', 'mdc_ecg_lead_v6_origin', 'mdc_ecg_lead_v2_scale', 'mdc_ecg_lead_avf_heart_rate_check', 'mdc_ecg_lead_avf_scale', 'mdc_ecg_lead_i_heart_rate_check', 'mdc_ecg_lead_iii_snr_check', 'mdc_ecg_lead_iii_stationary_check', 'mdc_ecg_lead_avr_scale', 'mdc_ecg_lead_ii_stationary_check', 'mdc_ecg_lead_v4_snr_check', 'mdc_ecg_lead_avl_stationary_check', 'mdc_ecg_lead_v3_ecg_quality', 'mdc_ecg_lead_avr_snr_check', 'dms_updated_at', 'mdc_ecg_lead_v3_snr', 'mdc_ecg_lead_v4_stationary_check', 'mdc_ecg_lead_v1_origin', 'mdc_ecg_lead_v1_scale', 'mdc_ecg_lead_v6_ecg_quality', 'mdc_ecg_lead_v2_ecg_quality', 'mdc_ecg_lead_ii_snr', 'mdc_ecg_lead_v1_ecg_quality', 'mdc_ecg_lead_avr_stationary_check', 'mdc_ecg_lead_avl_snr', 'mdc_ecg_lead_v6_scale', 'mdc_ecg_lead_ii_ecg_quality', 'mdc_ecg_lead_iii_origin', 'mdc_ecg_lead_ii_heart_rate_check', 'mdc_ecg_lead_v3_origin', 'mdc_ecg_lead_avl_scale', 'mdc_ecg_lead_avf_ecg_quality', 'mdc_ecg_lead_avr_snr', 'mdc_ecg_lead_v2_stationary_check', 'mdc_ecg_lead_v5_stationary_check', 'mdc_ecg_lead_v5_origin', 'mdc_ecg_lead_v1_stationary_check', 'mdc_ecg_lead_v1_heart_rate_check', 'mdc_ecg_lead_v5_snr', 'mdc_ecg_lead_v3_heart_rate_check', 'mdc_ecg_lead_v6_snr_check'}",22422,25342,-2920,,,,
participant,False,"DS+: set(), PROD+: {'Op', 'rescued_data', '_ingestion_timestamp', 'file_modification_time', 'dms_updated_at'}",46302,13680,32622,,,,
participant_pia,True,,6631793,109960,6521833,46302.0,13680.0,32622.0,13587.0
